place_name,region,latitude,longitude,start_date,end_date,hour_count,mean_wind_speed_10m_ms,mean_wind_speed_100m_ms,p90_wind_speed_100m_ms,max_wind_gust_10m_ms,mean_shortwave_radiation_wm2,total_shortwave_radiation_kwh_m2,total_sunshine_hours,wind_resource_score,solar_resource_score
Castlepoint,Wellington,-40.902,176.222,2024-01-01,2025-12-31,17544,5.375,8.552,14.6,37.6,173.545,3044.673,6586.6,95.0,69.4
Makara,Wellington,-41.223,174.706,2024-01-01,2025-12-31,17544,6.258,9.297,15.25,34.1,179.252,3144.798,6632.88,100.0,71.7
Ohariu Valley,Wellington,-41.184,174.769,2024-01-01,2025-12-31,17544,5.498,8.811,14.23,32.1,172.881,3033.017,6568.2,97.9,69.2
Takaka,Tasman,-40.858,172.806,2024-01-01,2025-12-31,17544,1.817,2.875,5.8,30.7,174.54,3062.136,6547.48,31.9,69.8
Motueka,Tasman,-41.124,173.009,2024-01-01,2025-12-31,17544,2.579,3.968,7.33,25.7,179.574,3150.453,6845.68,44.1,71.8
Murchison,Tasman,-41.801,172.333,2024-01-01,2025-12-31,17544,1.561,2.845,5.73,23.0,157.007,2754.53,5910.17,31.6,62.8
Ward,Marlborough,-41.827,174.131,2024-01-01,2025-12-31,17544,4.68,7.307,13.2,31.5,186.364,3269.563,6981.92,81.2,74.5
Seddon,Marlborough,-41.67,174.07,2024-01-01,2025-12-31,17544,3.442,5.622,10.83,28.4,183.573,3220.612,6962.87,62.5,73.4
Awatere Valley,Marlborough,-41.75,174.0,2024-01-01,2025-12-31,17544,3.099,5.07,10.18,31.4,181.582,3185.676,6917.91,56.3,72.6
Cape Campbell,Marlborough,-41.73,174.276,2024-01-01,2025-12-31,17544,4.779,7.452,13.15,30.2,184.675,3239.931,6938.75,82.8,73.9
Kaikoura,Canterbury,-42.401,173.681,2024-01-01,2025-12-31,17544,2.178,3.181,6.86,26.4,176.008,3087.893,6633.7,35.3,70.4
Hanmer Springs,Canterbury,-42.524,172.829,2024-01-01,2025-12-31,17544,2.828,4.54,9.79,46.4,169.828,2979.454,6287.37,50.4,67.9
Culverden,Canterbury,-42.77,172.85,2024-01-01,2025-12-31,17544,2.953,4.838,9.58,37.6,171.029,3000.537,6329.94,53.8,68.4
Amberley,Canterbury,-43.155,172.73,2024-01-01,2025-12-31,17544,3.896,6.158,11.15,36.4,172.276,3022.412,6501.06,68.4,68.9
Rangiora,Canterbury,-43.304,172.595,2024-01-01,2025-12-31,17544,3.483,5.382,10.1,32.6,175.512,3079.187,6596.7,59.8,70.2
Darfield,Canterbury,-43.489,172.112,2024-01-01,2025-12-31,17544,3.832,6.149,10.29,32.9,167.602,2940.413,6291.48,68.3,67.0
Ashburton,Canterbury,-43.904,171.749,2024-01-01,2025-12-31,17544,3.662,5.809,10.54,29.5,164.19,2880.551,6255.83,64.5,65.7
Methven,Canterbury,-43.633,171.646,2024-01-01,2025-12-31,17544,2.091,3.204,6.18,33.4,166.901,2928.105,6339.58,35.6,66.8
Geraldine,Canterbury,-44.092,171.244,2024-01-01,2025-12-31,17544,2.386,3.763,7.6,22.5,162.002,2842.155,6226.98,41.8,64.8
Fairlie,Canterbury,-44.101,170.828,2024-01-01,2025-12-31,17544,2.234,3.553,7.28,27.4,168.248,2951.742,6458.53,39.5,67.3
Tekapo,Canterbury,-44.004,170.477,2024-01-01,2025-12-31,17544,2.685,3.956,8.08,29.2,178.194,3126.238,6604.89,44.0,71.3
Twizel,Canterbury,-44.26,170.1,2024-01-01,2025-12-31,17544,1.391,2.009,4.49,15.0,171.252,3004.442,6416.2,22.3,68.5
Waimate,Canterbury,-44.732,171.046,2024-01-01,2025-12-31,17544,2.981,4.735,8.77,25.3,168.078,2948.753,6473.48,52.6,67.2
Mackenzie Basin,Canterbury,-44.2,170.3,2024-01-01,2025-12-31,17544,1.526,2.243,5.19,19.4,173.282,3040.066,6532.46,24.9,69.3
Karamea,West Coast,-41.247,172.112,2024-01-01,2025-12-31,17544,2.512,3.815,8.18,25.3,155.185,2722.559,6123.89,42.4,62.1
Westport,West Coast,-41.752,171.603,2024-01-01,2025-12-31,17544,3.581,5.542,10.54,26.9,163.527,2868.915,6306.04,61.6,65.4
Reefton,West Coast,-42.117,171.867,2024-01-01,2025-12-31,17544,2.225,3.729,7.07,22.6,145.905,2559.754,5567.16,41.4,58.4
Greymouth,West Coast,-42.45,171.208,2024-01-01,2025-12-31,17544,3.296,5.377,9.94,33.0,152.899,2682.464,5949.8,59.7,61.2
Hokitika,West Coast,-42.717,170.967,2024-01-01,2025-12-31,17544,2.821,4.364,8.97,31.7,156.81,2751.071,6127.05,48.5,62.7
Haast,West Coast,-43.88,169.042,2024-01-01,2025-12-31,17544,2.782,4.262,8.97,31.5,149.056,2615.04,5670.06,47.4,59.6
Oamaru,Otago,-45.097,170.971,2024-01-01,2025-12-31,17544,3.41,5.444,9.7,27.2,159.778,2803.146,6311.19,60.5,63.9
Palmerston,Otago,-45.485,170.714,2024-01-01,2025-12-31,17544,3.708,5.708,10.36,29.9,153.119,2686.324,5957.66,63.4,61.2
Alexandra,Otago,-45.249,169.379,2024-01-01,2025-12-31,17544,1.739,2.912,6.14,26.9,165.606,2905.396,6532.34,32.4,66.2
Cromwell,Otago,-45.038,169.2,2024-01-01,2025-12-31,17544,1.939,3.28,6.19,29.5,167.833,2944.466,6615.83,36.4,67.1
Ranfurly,Otago,-45.13,170.096,2024-01-01,2025-12-31,17544,2.425,3.81,8.58,30.5,171.112,3001.99,6595.65,42.3,68.4
Naseby,Otago,-45.022,170.144,2024-01-01,2025-12-31,17544,2.797,4.43,9.5,33.2,171.076,3001.355,6717.11,49.2,68.4
Middlemarch,Otago,-45.506,170.123,2024-01-01,2025-12-31,17544,2.011,3.271,6.68,34.5,158.712,2784.447,6120.57,36.3,63.5
Balclutha,Otago,-46.238,169.736,2024-01-01,2025-12-31,17544,3.843,6.34,11.51,38.6,146.658,2572.96,5774.68,70.4,58.7
Milton,Otago,-46.12,169.96,2024-01-01,2025-12-31,17544,3.976,6.666,11.92,40.0,145.467,2552.075,5883.12,74.1,58.2
Gore,Southland,-46.099,168.944,2024-01-01,2025-12-31,17544,3.8,6.244,11.36,37.5,144.231,2530.383,5817.64,69.4,57.7
Lumsden,Southland,-45.738,168.449,2024-01-01,2025-12-31,17544,3.672,6.022,11.92,34.3,150.413,2638.842,6030.39,66.9,60.2
Mossburn,Southland,-45.67,168.24,2024-01-01,2025-12-31,17544,4.027,6.577,13.57,33.4,149.171,2617.056,6077.0,73.1,59.7
Te Anau,Southland,-45.414,167.718,2024-01-01,2025-12-31,17544,2.136,3.426,6.89,23.9,143.215,2512.566,5582.93,38.1,57.3
Bluff,Southland,-46.6,168.333,2024-01-01,2025-12-31,17544,5.509,8.303,14.22,57.2,147.724,2591.664,5866.03,92.3,59.1
Riverton,Southland,-46.35,168.017,2024-01-01,2025-12-31,17544,3.997,6.424,11.43,35.3,145.712,2556.371,5835.19,71.4,58.3
Waipapa Point,Southland,-46.66,168.84,2024-01-01,2025-12-31,17544,5.123,8.0,13.32,49.6,142.283,2496.213,5692.8,88.9,56.9
Oban Stewart Island,Southland,-46.9,168.13,2024-01-01,2025-12-31,17544,5.095,7.816,13.3,52.1,130.771,2294.249,5097.46,86.8,52.3
Chatham Islands,Chatham Islands,-43.95,-176.55,2024-01-01,2025-12-31,17544,6.15,9.395,14.66,36.1,146.095,2563.096,5365.28,100.0,58.4
